number,value,state,params_batch_size,params_dropout,params_epochs,params_learning_rate,params_units1,params_units2
0,,PRUNED,32,0.2329984854528513,56,0.0005241726043075503,96,96
1,,PRUNED,32,0.055146123573950614,31,0.0009527257190058898,96,96
2,,PRUNED,32,0.15798625466052896,38,0.00031958797434820675,64,64
3,,PRUNED,96,0.09991844553958994,31,0.00045757727044891774,96,96
4,,PRUNED,96,0.29140800826863983,40,0.0007346415600924095,64,96
5,,PRUNED,64,0.0585971302788046,43,0.0008642068036189743,64,64
6,,PRUNED,32,0.29239615694113963,58,0.0006963452036540922,96,32
7,,PRUNED,96,0.06130682222763452,37,0.0003376184240846474,64,32
8,,PRUNED,64,0.08523105624369066,32,0.0007273469512419731,64,64
9,,PRUNED,32,0.22671433596190427,29,0.0006465232375784299,64,96
10,,PRUNED,32,0.18703474634733042,53,0.00031629506572311556,96,96
11,,PRUNED,32,0.23233878854767695,59,0.0007855628948536252,96,96
12,,PRUNED,32,0.12884452972223767,31,0.0009925995008329181,96,96
13,,PRUNED,32,0.09595128431072358,44,0.0006944347499204257,96,96
14,,PRUNED,32,0.2868011762070043,47,0.00043865749340749673,96,96
15,,PRUNED,96,0.11674776823634242,60,0.00046047675304927325,96,96
16,,PRUNED,32,0.05149559012107461,28,0.0009756931297017253,128,64
17,,PRUNED,32,0.2053626355523753,35,0.0006002569432137443,128,64
18,,PRUNED,32,0.05935039819968863,25,0.0008256709990805888,64,96
19,,PRUNED,96,0.22152237543676076,57,0.0004411681126263441,128,96
20,,PRUNED,96,0.08575174858254372,33,0.0008038413955180737,128,96
21,,PRUNED,32,0.17039153588084094,35,0.00035189993989030656,64,32
22,,PRUNED,32,0.15436598372263896,46,0.00025008874151984974,64,64
23,,PRUNED,64,0.1993484146821724,40,0.00032468147094199564,64,64
24,,PRUNED,32,0.1476094535726899,30,0.00027572043063464835,64,96
25,,PRUNED,64,0.2945275353472683,55,0.0004709587442544967,96,96
26,,PRUNED,32,0.20771719614046236,41,0.0005404872780746266,64,64
27,,PRUNED,64,0.15067333521003468,52,0.0005042622480517924,64,96
28,,PRUNED,32,0.06432607604202926,33,0.0003600731565847875,64,64
29,,PRUNED,32,0.2146234241774977,58,0.00046908267811052835,96,64
30,,PRUNED,64,0.1120647924997739,47,0.0009289831940341599,128,64
31,,PRUNED,64,0.10077515333104028,30,0.00030263326173198023,96,96
32,,PRUNED,96,0.09746649878921747,30,0.0004678659447958974,96,64
33,,PRUNED,96,0.11133852491123807,25,0.0003708686318554456,96,96
34,,PRUNED,64,0.05976426702184828,33,0.0005031467821290719,128,96
35,,PRUNED,96,0.09865229460389179,39,0.0003878099859603076,96,96
36,,PRUNED,32,0.06906916262819418,30,0.0006839538331553688,96,96
37,,PRUNED,96,0.1817572586519196,31,0.0006188572489490167,96,96
38,,PRUNED,32,0.05041944632859001,29,0.0009560975885027401,96,96
39,,PRUNED,96,0.15669132633539465,41,0.0002003304796786582,128,32
40,,PRUNED,64,0.06074259051644304,42,0.0008419569734480087,96,96
41,,PRUNED,96,0.2892019922237138,43,0.0009056922720835822,64,96
42,,PRUNED,96,0.2989503562860848,37,0.0003821891045461127,64,96
43,,PRUNED,96,0.26193511739665454,28,0.0008528880740194739,64,64
44,,PRUNED,96,0.2528383335671202,58,0.0005213998968399177,64,96
45,,PRUNED,32,0.2536096680954296,36,0.00020863006909669553,96,32
46,,PRUNED,96,0.11951220254595085,35,0.00022624801526029047,64,64
47,,PRUNED,32,0.16746787110127137,52,0.0005668801144169508,96,96
48,,PRUNED,96,0.21529804162847227,42,0.0006479580501104857,64,96
49,,PRUNED,32,0.23963648563162232,49,0.0006972460877651261,64,96
