Datetime;Volume_Flow;Pressure_Hall
2022-03-14 00:00:00;157.11;6.3
2022-03-14 00:01:00;157.02;6.33
2022-03-14 00:02:00;156.43;6.36
2022-03-14 00:03:00;157.21;6.39
2022-03-14 00:04:00;157.13;6.41
2022-03-14 00:05:00;156.97;6.44
2022-03-14 00:06:00;158.34;6.46
2022-03-14 00:07:00;158.54;6.48
2022-03-14 00:08:00;145.3;6.51
2022-03-14 00:09:00;50.94;6.4
2022-03-14 00:10:00;48.19;6.23
2022-03-14 00:11:00;125.74;6.12
2022-03-14 00:12:00;159.05;6.16
2022-03-14 00:13:00;157.1;6.2
2022-03-14 00:14:00;156.58;6.23
2022-03-14 00:15:00;155.12;6.27
2022-03-14 00:16:00;157.16;6.3
2022-03-14 00:17:00;158.4;6.33
2022-03-14 00:18:00;157.13;6.36
2022-03-14 00:19:00;158.19;6.38
2022-03-14 00:20:00;157.87;6.41
2022-03-14 00:21:00;157.5;6.43
2022-03-14 00:22:00;156.39;6.46
2022-03-14 00:23:00;156.9;6.48
2022-03-14 00:24:00;129.84;6.49
2022-03-14 00:25:00;49.57;6.37
2022-03-14 00:26:00;48.98;6.19
2022-03-14 00:27:00;140.7;6.11
2022-03-14 00:28:00;158.11;6.16
2022-03-14 00:29:00;157.08;6.2
2022-03-14 00:30:00;157.99;6.23
2022-03-14 00:31:00;157.11;6.26
2022-03-14 00:32:00;156.83;6.3
2022-03-14 00:33:00;157.08;6.33
2022-03-14 00:34:00;156.88;6.35
2022-03-14 00:35:00;157.81;6.38
2022-03-14 00:36:00;158.18;6.41
2022-03-14 00:37:00;157.2;6.44
2022-03-14 00:38:00;157.76;6.45
2022-03-14 00:39:00;156.98;6.48
2022-03-14 00:40:00;153.57;6.51
2022-03-14 00:41:00;53.53;6.41
2022-03-14 00:42:00;48.87;6.24
2022-03-14 00:43:00;110.42;6.11
2022-03-14 00:44:00;160.06;6.15
2022-03-14 00:45:00;157.55;6.2
2022-03-14 00:46:00;156.8;6.22
2022-03-14 00:47:00;157.5;6.26
2022-03-14 00:48:00;155.45;6.29
2022-03-14 00:49:00;158.4;6.32
2022-03-14 00:50:00;157.27;6.34
2022-03-14 00:51:00;157.13;6.38
2022-03-14 00:52:00;156.99;6.4
2022-03-14 00:53:00;156.71;6.43
