datetime,Group4-2_S6_MassFlowRate,Group4-2_S6_Pressure,Group4-2_S6_Temperature
2025-07-07 09:00:00,50.8295,15.1189,59.9075
2025-07-07 09:01:00,53.2291,15.1554,60.2974
2025-07-07 09:02:00,52.4143,15.2954,60.2647
2025-07-07 09:03:00,59.7434,15.9984,60.0162
2025-07-07 09:04:00,61.1633,16.2163,60.1265
2025-07-07 09:05:00,63.9249,16.4862,60.2524
2025-07-07 09:06:00,68.4417,16.9404,60.3344
2025-07-07 09:07:00,67.8744,16.822,60.4852
2025-07-07 09:08:00,72.4845,17.1517,60.3662
2025-07-07 09:09:00,72.6339,17.2941,60.403
2025-07-07 09:10:00,74.7075,17.4243,60.3644
2025-07-07 09:11:00,75.4883,17.6534,60.4883
2025-07-07 09:12:00,74.3828,17.4339,60.6723
2025-07-07 09:13:00,75.129,17.4812,60.6438
2025-07-07 09:14:00,73.5414,17.4471,60.6586
2025-07-07 09:15:00,70.529,17.0722,60.5287
2025-07-07 09:16:00,69.588,17.087,60.6698
2025-07-07 09:17:00,68.0286,16.6661,60.7711
2025-07-07 09:18:00,63.9578,16.512,60.6385
2025-07-07 09:19:00,61.7247,16.126,60.8219
2025-07-07 09:20:00,59.3995,15.8288,60.8144
2025-07-07 09:21:00,56.0628,15.6888,60.8986
2025-07-07 09:22:00,52.2289,15.3341,60.785
2025-07-07 09:23:00,49.8864,15.0031,60.9142
2025-07-07 09:24:00,45.8953,14.6139,61.0287
2025-07-07 09:25:00,41.9723,14.1921,60.9082
2025-07-07 09:26:00,38.6335,13.8818,61.0717
2025-07-07 09:27:00,36.5599,13.7381,61.036
2025-07-07 09:28:00,33.4542,13.25,61.1217
2025-07-07 09:29:00,30.222,12.9691,61.1293
2025-07-07 09:30:00,27.1437,12.7849,61.1119
2025-07-07 09:31:00,25.434,12.5694,61.1895
2025-07-07 09:32:00,23.1611,12.3551,61.3409
2025-07-07 09:33:00,21.0185,12.1803,61.3811
2025-07-07 09:34:00,21.847,12.1009,61.3283
2025-07-07 09:35:00,20.0834,12.0125,61.3533
2025-07-07 09:36:00,20.897,11.9593,61.3831
2025-07-07 09:37:00,21.49,12.298,61.4285
2025-07-07 09:38:00,23.382,12.287,61.5457
2025-07-07 09:39:00,25.419,12.5273,61.5312
2025-07-07 09:40:00,28.611,12.9238,61.6967
2025-07-07 09:41:00,31.7584,13.2942,61.6508
2025-07-07 09:42:00,35.2138,13.4346,61.7618
2025-07-07 09:43:00,38.9943,13.8879,61.767
2025-07-07 09:44:00,42.5881,14.1958,61.7924
2025-07-07 09:45:00,45.8584,14.5447,61.7891
2025-07-07 09:46:00,49.8821,15.0118,61.8543
2025-07-07 09:47:00,53.4831,15.3435,61.9431
2025-07-07 09:48:00,57.1738,15.7088,61.8617
2025-07-07 09:49:00,60.8959,16.0355,61.865
2025-07-07 09:50:00,64.0852,16.518,62.1384
2025-07-07 09:51:00,66.7032,16.6874,62.0673
2025-07-07 09:52:00,69.5768,16.892,62.1157
2025-07-07 09:53:00,72.7154,17.2274,62.0076
2025-07-07 09:54:00,72.8427,17.2764,62.0163
2025-07-07 09:55:00,74.9221,17.4764,62.1325
2025-07-07 09:56:00,75.0519,17.519,62.2478
2025-07-07 09:57:00,75.06,17.4812,62.3392
2025-07-07 09:58:00,73.6841,17.4222,62.433
2025-07-07 09:59:00,72.585,17.2942,62.2612
2025-07-07 10:00:00,70.0,17.0,62.5
2025-07-07 10:01:00,67.415,16.7058,62.5417
2025-07-07 10:02:00,64.1221,16.488,62.6108
2025-07-07 10:03:00,60.0057,15.9392,62.536
2025-07-07 10:04:00,56.5169,15.6515,62.478
2025-07-07 10:05:00,53.078,15.2263,62.6519
2025-07-07 10:06:00,48.7208,14.868,62.6963
2025-07-07 10:07:00,45.3228,14.5976,62.6946
2025-07-07 10:08:00,40.6772,14.1238,62.7753
2025-07-07 10:09:00,36.5661,13.6288,62.8123
2025-07-07 10:10:00,33.2925,13.3377,62.774
2025-07-07 10:11:00,30.4117,13.0466,62.7487
2025-07-07 10:12:00,26.4586,12.6369,62.8943
2025-07-07 10:13:00,23.771,12.3968,62.8875
2025-07-07 10:14:00,21.9586,12.1965,63.0203
2025-07-07 10:15:00,20.471,11.9546,63.1492
2025-07-07 10:16:00,18.913,11.899,63.125
2025-07-07 10:17:00,18.5094,11.8488,63.1345
2025-07-07 10:18:00,19.9862,12.015,63.1751
2025-07-07 10:19:00,21.2753,12.2131,63.0566
2025-07-07 10:20:00,23.3995,12.2472,63.2274
2025-07-07 10:21:00,26.9372,12.6011,63.2223
2025-07-07 10:22:00,30.8711,13.0679,63.2107
2025-07-07 10:23:00,33.9136,13.4357,63.2858
2025-07-07 10:24:00,38.1047,13.8861,63.4543
2025-07-07 10:25:00,42.0277,14.1039,63.4918
2025-07-07 10:26:00,46.3665,14.545,63.486
2025-07-07 10:27:00,49.4401,14.9619,63.536
2025-07-07 10:28:00,53.5458,15.45,63.5617
2025-07-07 10:29:00,57.778,15.7309,63.6093
2025-07-07 10:30:00,60.8563,16.0151,63.5719
2025-07-07 10:31:00,64.566,16.4206,63.7895
2025-07-07 10:32:00,68.8389,16.8449,63.7609
2025-07-07 10:33:00,71.9815,17.1197,63.8011
2025-07-07 10:34:00,72.153,17.2991,63.7483
2025-07-07 10:35:00,74.9166,17.5075,63.8333
2025-07-07 10:36:00,75.103,17.4407,63.8231
2025-07-07 10:37:00,76.49,17.798,63.8485
2025-07-07 10:38:00,76.618,17.712,63.8657
2025-07-07 10:39:00,74.581,17.5473,63.8112
2025-07-07 10:40:00,71.389,17.0762,64.0567
2025-07-07 10:41:00,68.2416,16.7058,64.0308
2025-07-07 10:42:00,64.7862,16.5654,64.1818
2025-07-07 10:43:00,61.0057,16.1121,64.107
2025-07-07 10:44:00,57.4119,15.8042,64.1724
2025-07-07 10:45:00,54.1416,15.4553,64.1491
2025-07-07 10:46:00,50.1179,14.9882,64.2743
2025-07-07 10:47:00,46.5169,14.6565,64.3231
2025-07-07 10:48:00,42.8262,14.2912,64.2217
2025-07-07 10:49:00,39.1041,13.9645,64.285
2025-07-07 10:50:00,35.9148,13.482,64.4984
2025-07-07 10:51:00,33.2968,13.3126,64.4473
2025-07-07 10:52:00,30.4232,13.108,64.5357
2025-07-07 10:53:00,27.2846,12.7726,64.4276
2025-07-07 10:54:00,26.3573,12.6236,64.4363
2025-07-07 10:55:00,24.0779,12.4236,64.5525
2025-07-07 10:56:00,21.9481,12.281,64.6678
2025-07-07 10:57:00,20.06,12.0188,64.7592
2025-07-07 10:58:00,18.3159,11.7578,64.853
2025-07-07 10:59:00,17.415,11.7058,64.6812
