algorithm,complexity,horizon,best_value,lags,rolling_window_size,dropout,batch_size,epochs,learning_rate,optimizer,loss,clipnorm,weight_decay,cnn_dropout,cnn_activation,min_samples_split,min_samples_leaf,max_features,bootstrap,ccp_alpha,max_samples,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma,max_delta_step,grow_policy,min_child_samples,max_bin
lstm,simple,1,1000000000.0,20,12,0.25522600452064415,64.0,80.0,0.0005216440601134651,adam,huber,2.327769088700759,4.33582677906943e-06,,,,,,,,,,,,,,,,,,
lstm,medium,1,1000000000.0,24,12,0.44453529173484074,64.0,70.0,0.0034215064330802973,adam,mse,0.8130892391021399,5.111129179847355e-07,,,,,,,,,,,,,,,,,,
lstm,high,1,1000000000.0,20,1,0.1827641559221978,128.0,65.0,0.00032750953862116023,nadam,mse,4.171132584670195,4.732030279465631e-06,,,,,,,,,,,,,,,,,,
cnn1d,simple,1,1000000000.0,8,4,,128.0,30.0,0.0015451540823278325,nadam,huber,3.116735058558198,0.00013036740843832978,0.3426268680544176,gelu,,,,,,,,,,,,,,,,
cnn1d,medium,1,1000000000.0,20,11,,64.0,65.0,0.0003303280198603097,rmsprop,mse,1.7932189025220198,0.00048801874927606584,0.1586880584415199,gelu,,,,,,,,,,,,,,,,
cnn1d,high,1,1000000000.0,20,3,,64.0,25.0,0.0015711882742805805,rmsprop,mse,2.12028741942142,5.68200943280329e-06,0.2970715058028956,tanh,,,,,,,,,,,,,,,,
random_forest,simple,1,1000000000.0,8,7,,,,,,,,,,,10.0,4.0,0.7176328034087422,False,0.014796814252895538,0.7191627680561996,,,,,,,,,,
random_forest,medium,1,1000000000.0,8,1,,,,,,,,,,,4.0,3.0,0.22214541463981377,False,0.019869146485354556,0.6391342955481534,,,,,,,,,,
random_forest,high,1,1000000000.0,8,3,,,,,,,,,,,6.0,14.0,0.365358319684702,True,0.003756489258900642,0.9886611452515195,,,,,,,,,,
xgboost,simple,1,1000000000.0,20,7,,,,0.024054501886413695,,,,,,,,,,,,,0.8806116487460736,0.4753724622062223,12.0,0.06095520384653555,4.277857682215525e-06,4.342802863485373,9.088600350691921,lossguide,,
xgboost,medium,1,1000000000.0,16,7,,,,0.03922471029736669,,,,,,,,,,,,,0.584986633827508,0.7731070662619011,5.0,0.18028129299684365,0.4200814110183326,0.16428931153467052,4.230217490557524,depthwise,,
xgboost,high,1,1000000000.0,20,12,,,,0.013196487722447579,,,,,,,,,,,,,0.5293654195019041,0.49135823866574413,18.0,0.001427787868440958,0.39878850819338335,3.996456228482405,7.003991153625907,depthwise,,
light_xgboost,simple,1,1000000000.0,8,1,,,,0.009835042820321884,,,,,,,,,,,,,0.6573554301930236,0.5810282506448597,19.0,0.09121621233208362,0.02782384129576236,,,,55.0,320.0
light_xgboost,medium,1,1000000000.0,8,4,,,,0.024043507376481622,,,,,,,,,,,,,0.71690308706217,0.6342223377343841,7.0,0.0021046767637229674,2.2609702134345574e-06,,,,178.0,256.0
light_xgboost,high,1,1000000000.0,8,5,,,,0.026452910781783235,,,,,,,,,,,,,0.7584658164558498,0.8550141530681808,15.0,0.7270069334432345,3.768423620785001e-05,,,,80.0,320.0
