algorithm,complexity,horizon,best_value,lags,rolling_window_size,dropout,batch_size,epochs,learning_rate,optimizer,loss,clipnorm,weight_decay,cnn_dropout,cnn_activation,min_samples_split,min_samples_leaf,max_features,bootstrap,ccp_alpha,max_samples,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma,max_delta_step,grow_policy,min_child_samples,max_bin
lstm,simple,1,1000000000.0,16,10,0.35023858085720627,64.0,100.0,0.00015871330654100967,nadam,huber,0.7164438608677481,3.876999147886564e-08,,,,,,,,,,,,,,,,,,
lstm,medium,1,1000000000.0,20,3,0.40915104721047324,32.0,40.0,0.0008030790070053682,adam,huber,2.522501073697143,3.201222525398391e-08,,,,,,,,,,,,,,,,,,
lstm,high,1,1000000000.0,16,7,0.3120204477983388,32.0,40.0,0.003931354156971479,rmsprop,mse,4.934773094731221,1.8908382482257976e-05,,,,,,,,,,,,,,,,,,
cnn1d,simple,1,1000000000.0,20,11,,128.0,40.0,0.0012962650507435654,rmsprop,mse,1.0063842861332288,1.660585947485078e-06,0.20486269432203402,gelu,,,,,,,,,,,,,,,,
cnn1d,medium,1,1000000000.0,20,9,,128.0,90.0,0.00021097243323035347,rmsprop,mse,1.7381777715834412,2.2614087696059814e-06,0.19392952955695303,tanh,,,,,,,,,,,,,,,,
cnn1d,high,1,1000000000.0,8,6,,32.0,90.0,0.00034676697378274816,nadam,huber,2.6112111249998753,3.179472455067262e-05,0.0047330951685234934,relu,,,,,,,,,,,,,,,,
random_forest,simple,1,1000000000.0,24,2,,,,,,,,,,,16.0,1.0,0.6052274848906996,False,0.015546162757117852,0.7027598158554402,,,,,,,,,,
random_forest,medium,1,1000000000.0,16,3,,,,,,,,,,,2.0,6.0,0.5581867198435817,False,0.010955519128404747,0.7048787839752999,,,,,,,,,,
random_forest,high,1,1000000000.0,12,7,,,,,,,,,,,12.0,7.0,0.843592592732963,False,0.002633669367723135,0.8870763205681058,,,,,,,,,,
xgboost,simple,1,1000000000.0,20,12,,,,0.005001588685920612,,,,,,,,,,,,,0.812975849139369,0.4073433949472609,15.0,0.015603279207431337,0.0014475472354663985,4.352165549566449,5.9951957186691,lossguide,,
xgboost,medium,1,1000000000.0,24,9,,,,0.014561040759154903,,,,,,,,,,,,,0.8846238180009298,0.9263048755021293,4.0,0.054931871140802016,1.7982192281991714e-06,2.449109242833469,4.334162440940364,lossguide,,
xgboost,high,1,1000000000.0,16,11,,,,0.03326179822926327,,,,,,,,,,,,,0.922646490469571,0.40548565588750296,6.0,0.48101232106725633,0.007691062734877362,4.114624530071226,8.756862427805743,lossguide,,
light_xgboost,simple,1,1000000000.0,20,2,,,,0.009404985085237452,,,,,,,,,,,,,0.9910517776471413,0.6422061916882537,2.0,0.011015324780167637,3.0814050107545217e-06,,,,198.0,256.0
light_xgboost,medium,1,1000000000.0,24,2,,,,0.006004247837719266,,,,,,,,,,,,,0.8470926622998334,0.4016216151277172,13.0,0.003926077335088903,1.996159344592712e-05,,,,108.0,224.0
light_xgboost,high,1,1000000000.0,20,10,,,,0.02330705201719868,,,,,,,,,,,,,0.7452450194299439,0.8878706699319282,11.0,0.0028801207223379914,0.0026668218090420462,,,,126.0,160.0
