cnn_blocks,cnn_base_filters,cnn_kernel_size,cnn_dropout,cnn_activation,batch_size,epochs,optimizer,learning_rate,clipnorm,mae,rmse,mse,r2
2,40,6,0.02039919178165495,relu,64,24,adam,0.003142038489881691,1.85341809285083,1.4340574877615486,2.0635960499176123,4.258428657235573,0.2939215257014944
2,60,7,0.10320886920727637,gelu,48,60,adam,0.004855677098643896,2.148627119854874,1.3733575167390912,2.077976164687522,4.317984941009462,0.28403536154450304
1,58,4,0.08312922545228353,relu,64,46,adam,0.0018749980565679436,1.1097987696991902,1.422959191985698,2.0838125476091456,4.342274733573318,0.280024733461096
1,19,7,0.06630777190163291,gelu,32,28,adam,0.0012108883992243066,1.2091036235012884,1.4339629357151957,2.0916693149449737,4.375080523082376,0.2745832546399297
1,49,4,0.25107008124447316,gelu,32,32,rmsprop,0.0008915465466167481,1.3418552057222486,1.432323753079508,2.1018473270180635,4.417762186092979,0.2674982700082875
2,40,3,0.25363006341908884,gelu,64,54,rmsprop,0.0010767157732712357,1.0619514721984487,1.4096990714052242,2.108612453762384,4.446246480161822,0.26279665832357985
1,56,3,0.055645903236657156,relu,32,29,nadam,0.004526041627491127,1.8578707009059465,1.4318113702674808,2.109196698546779,4.448710713160632,0.26239200656637524
1,53,3,0.2768832217694378,gelu,32,26,nadam,0.003968910086476603,2.833932688796008,1.4072063949214308,2.1126374051277175,4.463236805544775,0.259972921199603
2,49,4,0.2815616491915002,gelu,16,20,rmsprop,0.0006441897847010918,0.7326474978332702,1.429490954748034,2.1254563446667407,4.517564673084103,0.25096469102259367
2,24,5,0.19314914798652738,gelu,64,28,rmsprop,0.001117009930914254,1.6216524711732958,1.4252255205150515,2.1257108929986486,4.518646800613111,0.2507854541706298
2,43,5,0.3011896604193439,gelu,64,28,adam,0.0006828519724655953,0.7003114813470275,1.4978987903151353,2.134253929976863,4.555039837621684,0.24476400655160327
2,62,3,0.3125828957743556,relu,64,42,adam,0.002856380391472615,2.449725670758882,1.4723510366330437,2.151806413845782,4.630270842667845,0.2322921349873703
1,25,3,0.28069297085671496,gelu,16,40,rmsprop,0.00205238599166961,2.7379032491769006,1.4919991286689847,2.1573654265871873,4.654225583833718,0.2283252263703654
2,21,6,0.05072175589582019,gelu,32,44,nadam,0.00019912496097411556,2.1440313226734626,1.4333135931856047,2.158489587276771,4.659077298382246,0.22748044304837342
2,27,6,0.24363067660137797,relu,16,35,nadam,0.00019558777036441833,1.5749499624699763,1.5135118112515262,2.1590690191936885,4.661579029641997,0.227082492564499
1,20,6,0.20211444462696085,relu,32,22,adam,0.00159340882210348,2.7274178835722362,1.5407938333491316,2.160432718803192,4.667469532475352,0.22609949555482792
1,44,6,0.06810950310999808,relu,48,21,rmsprop,0.0001698696699009123,0.6076483095794584,1.566923262006264,2.191585508496613,4.803047041052359,0.2036496554882095
2,35,6,0.28242355019960264,gelu,32,30,rmsprop,0.0001848814796008897,2.742242179468766,1.5154590866528284,2.1970359933119012,4.8269671559080125,0.19968698992704717
1,40,6,0.19879250714808872,gelu,64,32,rmsprop,0.00018850798600544662,2.700541853299671,1.5357186011598434,2.251835212583539,5.070761824631152,0.15924134263957776
1,52,4,0.032894995968909733,relu,32,24,adam,0.00010222560316296924,2.017639522288365,1.6874745127902389,2.2573414234622033,5.095590302078366,0.1551579996429863
