n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,max_bin,mae,rmse,mse,r2
354,0.010218423955423571,17,19,0.7890669691766068,0.7001585418611485,2.160993078854537e-06,0.9736899726164933,131,1.3700258994738566,1.980170712200239,3.921076049455602,0.35240753443945577
209,0.01130851048899795,55,37,0.6657638605586752,0.8933917420486828,2.4540029004658635e-05,0.01283595400020606,142,1.4015112130439382,1.9888037434959274,3.9553403301434145,0.3467508752628696
361,0.011897344257128198,23,34,0.6480694177447803,0.6930873273520861,0.007603083894924353,0.048716118424806915,116,1.376880074774451,1.9931763296449567,3.972751881056941,0.34387384247157887
203,0.03248361566734094,16,13,0.9245172083200063,0.6188910594791979,0.05356266237542545,0.09361843028587212,70,1.3785567526323887,2.002819406125235,4.011285573551838,0.3375120945006422
633,0.010807668120125114,21,5,0.7322891075409875,0.8791219778138613,0.03346694317406939,0.9137492995078402,181,1.3852669156667208,2.013161527809718,4.052819337053157,0.33065174241769557
365,0.014007992403668318,25,18,0.8505806469393236,0.7234507999046929,0.0010940733850392647,0.06779549927201235,164,1.3887062321325887,2.0148045165875206,4.059437240061473,0.32955503846474765
564,0.013356681973488299,54,14,0.9577932010536365,0.723535313493786,0.04460601176784211,5.38856762507081,175,1.4224351343244195,2.059803181571425,4.242789146811765,0.2992723926265909
540,0.034353794555784564,18,35,0.7084716135456888,0.7683597661176937,0.00496491323687475,0.016980477531981456,251,1.4294447540332733,2.0636098539561334,4.258485629344855,0.29667859930171014
975,0.011677925460830381,48,45,0.7375867246230762,0.8972557914290569,0.06163470423094732,1.108929726279831,246,1.4447521802133891,2.068852660181747,4.280151329541092,0.29310818160159857
542,0.031242606559997187,25,30,0.6802263776263869,0.8427226241495582,0.001092506684802773,0.013159450722815748,219,1.439078623514537,2.0742152680813053,4.302368978341601,0.28942212800952116
891,0.01862775244192342,30,48,0.81718393194457,0.8576380380688571,0.013219400673407893,2.7072750102802665,219,1.4404490208703644,2.074800286881679,4.304796230444297,0.2890291872857792
691,0.0201559901746285,33,37,0.8863263964887763,0.6109908716735242,1.5828488508794064e-06,4.35991979587796,228,1.4371961534762172,2.075535640867169,4.307848196509891,0.2885319443351049
476,0.030863339659384297,63,44,0.8817425020522887,0.6072843569944906,0.00012204519076415664,0.02323881357926423,240,1.46395695637538,2.0904758953503606,4.370089469040892,0.2782451563061037
472,0.05427167979896807,20,19,0.8112373037559557,0.6286732960862566,0.0005667761315934947,7.566130009061309,210,1.4522736926505313,2.0928615357080735,4.3800694076463556,0.27659937339011575
322,0.0406359627327107,41,30,0.7860532591423967,0.8230931208124775,1.189528781302768e-06,0.012168184999277453,220,1.4651184139653508,2.104830112804875,4.430309803770182,0.26829458124016703
636,0.0377598709602775,28,41,0.9171428533130968,0.7432858450926408,0.026559530954461136,0.6919051779994801,65,1.469599862240448,2.105037813625214,4.431184196792022,0.2681707379658114
342,0.03374907359324291,38,7,0.8356917935365815,0.9716078866900589,0.0058135668119577676,0.5896713414404009,70,1.4508719269893584,2.1074066983265953,4.441162992151802,0.26649555895822397
846,0.027393259868674375,30,34,0.7465355782667793,0.7475691101352661,3.147100786069255e-05,0.0034980397211569186,118,1.4744217157378972,2.114228024406275,4.469960139184861,0.26174613448938844
719,0.024439065482627028,55,37,0.7460030392691825,0.6844777676925219,0.0016613667315303,0.5555111984829602,66,1.4958892101105334,2.121341292477424,4.500088879169789,0.2567912874107885
674,0.028867474421016726,53,40,0.8956694470444053,0.6031928329355721,0.00145703618319577,0.03683292066715752,235,1.5057117841946632,2.1391810527506214,4.5760955764472575,0.2442168671928112
