n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,max_bin,mae,rmse,mse,r2
1352,0.014140937408869151,138,98,0.741978076288119,0.54127330930494,0.04402804912228812,9.185117067339913,439,1.133155445698148,1.649218375394555,2.719921249739056,0.5508460530795036
1926,0.01276442109725268,149,97,0.9026711219752583,0.666828881389665,0.03257842233481258,60.30123894439066,209,1.1378511583590043,1.6497752285434653,2.7217583047156433,0.5505417981509533
643,0.014342345051007555,219,76,0.657679223589701,0.8816384920505974,1.4550662546464268e-06,0.004128377327970375,296,1.1243213851820686,1.6501448441315583,2.7229780066139644,0.5503346263875589
1208,0.011147158605307204,128,91,0.5170341384943692,0.7889041966778491,0.00034658858411163433,0.0357708659264716,485,1.1273426952094796,1.6511432701680118,2.726274098621116,0.5497953492606835
727,0.03736967279830366,146,92,0.9182978028508579,0.6835232701879408,0.3886701310954799,13.283438503135926,294,1.1378775994900527,1.6526618487322509,2.7312911862551013,0.5489729277089457
2462,0.016048675147766065,152,74,0.650189108743567,0.6507362386941778,4.426713125694132e-05,24.74845930852698,428,1.1388294487696728,1.6558169531410043,2.741729782309159,0.5472420256163829
1263,0.027088055481345796,215,77,0.8260138913969433,0.512119670794874,0.15205822530170943,1.5898409112355623,162,1.1410470489158486,1.6575705879909655,2.7475402541727147,0.5462739145919371
981,0.01055861442622344,82,50,0.5754077407250372,0.7999300487548376,0.0004592541524253027,0.00170862700151816,354,1.1252796190851542,1.6583078315483335,2.749984864174536,0.5458907147824342
987,0.017906637436218294,162,64,0.866406276844643,0.7487665227758297,0.00015354537948827812,0.053467753494314096,132,1.1257699964096184,1.6587450440025928,2.7514351210031633,0.5456446796872577
1393,0.019595078667723014,217,86,0.5210819885567163,0.9848150466623375,0.0003004389225669468,0.002950049223745745,229,1.145798662681123,1.6619494680397944,2.7620760343177553,0.5438829721739027
1506,0.019993183635386665,215,42,0.6492380866336473,0.8333650561637433,1.9353133031848726e-05,30.411045520984516,389,1.1359577237675842,1.6641023303068052,2.7692365657325397,0.5427076320827716
794,0.015181473119994422,34,30,0.6526797388221619,0.5472915895001789,0.00023206073741042067,2.0731828968075146,342,1.1243274190171553,1.6641862112622259,2.769515745755322,0.5426631259263255
1487,0.02744630074294093,199,94,0.7267822372511528,0.7699869455654943,0.0048388241289516794,0.14557588323133458,302,1.1541141836801578,1.670580395806463,2.790838858852878,0.5391350219123545
769,0.015045159817952857,31,14,0.9639833133518296,0.8043072755658591,2.4108310168077817e-05,31.61061033345349,395,1.1270417178525007,1.6713441219002643,2.7933911738105657,0.5387196921672007
1186,0.01155368362981166,193,34,0.8097810575959555,0.6148292448536228,0.0009030821675045826,0.0017738752752967356,430,1.1361357999439416,1.6722640957628716,2.796467205977615,0.5382043809603027
1787,0.0242460555268602,92,79,0.6366874788964962,0.9823369367233457,0.004255043740977503,0.0014059372916440415,440,1.1542499927761485,1.6726009762383223,2.7975940257133884,0.5380112699433526
1548,0.02385125287682138,34,67,0.5687028317453293,0.8148023610300013,0.002576935353354567,0.4447589389877741,219,1.1533411035820373,1.673039452593023,2.799061009932762,0.5377793905126715
1634,0.06177019284570684,200,86,0.7656568019921612,0.6642766957341517,2.7915069311846284e-05,72.09236346865876,432,1.1634601210243969,1.673209532155834,2.799630138497145,0.5376800452164918
1546,0.04592965481297296,129,25,0.6863835346208877,0.7210188773104764,0.7248554648593719,54.984422261294945,480,1.1449061813540817,1.674195587040578,2.8029308636661456,0.5371367154175514
1826,0.03168342012818942,129,100,0.6759900586334158,0.5222128706409573,1.1522754635852243e-05,0.0036707839546523606,378,1.16000459335169,1.6746835508270772,2.8045649954107876,0.5368722123094296
