signal,lag,pacf
Group4-2_S6_VolumetricFlowRate,0,1.0
Group4-2_S6_VolumetricFlowRate,1,-0.16682477800453824
Group4-2_S6_VolumetricFlowRate,2,-0.25240409779372175
Group4-2_S6_VolumetricFlowRate,3,-0.2749753627472851
Group4-2_S6_VolumetricFlowRate,4,0.47624541869271947
Group4-2_S6_VolumetricFlowRate,5,-0.05873852835806274
Group4-2_S6_VolumetricFlowRate,6,-0.02087345598778266
Group4-2_S6_VolumetricFlowRate,7,-0.10767449547008062
Group4-2_S6_VolumetricFlowRate,8,0.23556859758044568
Group4-2_S6_VolumetricFlowRate,9,-0.08972281840642908
Group4-2_S6_VolumetricFlowRate,10,0.24435428116437433
Group4-2_S6_VolumetricFlowRate,11,-0.03399906911301562
Group4-2_S6_VolumetricFlowRate,12,0.2978760482118253
Group4-2_S6_VolumetricFlowRate,13,-0.06752160811036066
Group4-2_S6_VolumetricFlowRate,14,-0.2195506827727942
Group4-2_S6_VolumetricFlowRate,15,0.06316532954367943
Group4-2_S6_VolumetricFlowRate,16,0.09890514454965309
Group4-2_S6_VolumetricFlowRate,17,-0.0009780604751100203
Group4-2_S6_VolumetricFlowRate,18,-0.1661035180478839
Group4-2_S6_VolumetricFlowRate,19,0.015155501112437434
Group4-2_S6_VolumetricFlowRate,20,0.41766667925580936
Group4-2_S6_VolumetricFlowRate,21,0.06220544543178239
Group4-2_S6_VolumetricFlowRate,22,-0.01690737794357234
Group4-2_S6_VolumetricFlowRate,23,-0.037221811528603245
Group4-2_S6_VolumetricFlowRate,24,-0.12651947774556038
Group4-2_S6_VolumetricFlowRate,25,-0.045651932829197696
Group4-2_S6_VolumetricFlowRate,26,-0.016475735668112126
Group4-2_S6_VolumetricFlowRate,27,0.04010745978200031
Group4-2_S6_VolumetricFlowRate,28,-0.20779562017974665
Group4-2_S6_VolumetricFlowRate,29,-0.017367490294568834
Group4-2_S6_VolumetricFlowRate,30,-0.15164833838531816
Group4-2_S6_VolumetricFlowRate,31,-0.002604469537964354
Group4-2_S6_VolumetricFlowRate,32,-0.15590319479483858
Group4-2_S6_VolumetricFlowRate,33,-0.0051653593651066875
Group4-2_S6_VolumetricFlowRate,34,0.025353578730139464
Group4-2_S6_VolumetricFlowRate,35,0.027293091694979895
Group4-2_S6_VolumetricFlowRate,36,-0.03916364715854276
Group4-2_S6_VolumetricFlowRate,37,-0.10641064038012696
Group4-2_S6_VolumetricFlowRate,38,0.015455322448408991
Group4-2_S6_VolumetricFlowRate,39,0.26366191221586754
Group4-2_S6_VolumetricFlowRate,40,-0.13104496243750507
Group4-2_S6_MassFlowRate,0,1.0
Group4-2_S6_MassFlowRate,1,-0.16683892538583725
Group4-2_S6_MassFlowRate,2,-0.25237774070389163
Group4-2_S6_MassFlowRate,3,-0.27497046972910677
Group4-2_S6_MassFlowRate,4,0.4762805363996246
Group4-2_S6_MassFlowRate,5,-0.058794984895524476
Group4-2_S6_MassFlowRate,6,-0.02090515307601969
Group4-2_S6_MassFlowRate,7,-0.10767756094149054
Group4-2_S6_MassFlowRate,8,0.2356771721888101
Group4-2_S6_MassFlowRate,9,-0.08962760474126091
Group4-2_S6_MassFlowRate,10,0.24443458768022866
Group4-2_S6_MassFlowRate,11,-0.03400371881429328
Group4-2_S6_MassFlowRate,12,0.2978715137070268
Group4-2_S6_MassFlowRate,13,-0.06746663968566331
Group4-2_S6_MassFlowRate,14,-0.2194996129697356
Group4-2_S6_MassFlowRate,15,0.06313030741935029
Group4-2_S6_MassFlowRate,16,0.09884177234181458
Group4-2_S6_MassFlowRate,17,-0.0010199352881440473
Group4-2_S6_MassFlowRate,18,-0.16623577777587603
Group4-2_S6_MassFlowRate,19,0.015202164963611943
Group4-2_S6_MassFlowRate,20,0.4176320123918785
Group4-2_S6_MassFlowRate,21,0.06219426557592668
Group4-2_S6_MassFlowRate,22,-0.01691376389786576
Group4-2_S6_MassFlowRate,23,-0.03735815740335596
Group4-2_S6_MassFlowRate,24,-0.1265691713753159
Group4-2_S6_MassFlowRate,25,-0.04558702075494127
Group4-2_S6_MassFlowRate,26,-0.016401324731004502
Group4-2_S6_MassFlowRate,27,0.040225927201927754
Group4-2_S6_MassFlowRate,28,-0.20787998137100938
Group4-2_S6_MassFlowRate,29,-0.017406833263290632
Group4-2_S6_MassFlowRate,30,-0.151729661490755
