n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,n_jobs,random_state,mae,rmse,mse,r2
202,5.0,7,7,0.7185043122763849,True,1,42,1.3627679111032025,1.9615819528342902,3.847803757685187,0.3645023033171948
55,6.0,3,4,0.4330154084450388,True,1,42,1.362028375597137,1.962990912396897,3.8533333221528023,0.36360028443388714
133,5.0,3,3,0.5165829286284616,False,1,42,1.3673762001193908,1.9661593008577367,3.865782396349384,0.36153025092402985
239,8.0,3,7,0.763263054340936,True,1,42,1.3574137908339394,1.9675543155510073,3.8712699846433933,0.3606440019695115
128,8.0,7,3,0.44879905042509677,True,1,42,1.3564734732626498,1.9678057876532424,3.8722596179215976,0.3604828466302946
196,11.0,9,4,0.37453477207983654,True,1,42,1.3640700144678262,1.9731765734434843,3.8934257899861704,0.35698645552037733
136,18.0,8,8,0.8049602344943416,True,1,42,1.3653620478985646,1.9747414072423866,3.899603625477641,0.3559701554827937
96,5.0,9,5,0.7768062899978856,False,1,42,1.3671973579858914,1.9767378771932451,3.907492635130457,0.3546497318743753
218,17.0,5,7,0.38124035959269725,True,1,42,1.3673893613124133,1.976775205027135,3.9076402112100714,0.3546409197989485
161,9.0,4,3,0.35163889488968825,False,1,42,1.3621203387317298,1.979844119993328,3.919782739472156,0.35263365542680947
172,18.0,10,3,0.34924980240264747,True,1,42,1.3726788616617243,1.9822844055183941,3.9294514643614136,0.35103948698810505
95,16.0,9,4,0.3671405627693247,True,1,42,1.3745437405214893,1.982917954239404,3.9319636132449833,0.3506295453919418
83,11.0,10,4,0.5505878331452745,True,1,42,1.3689572553747156,1.9854794179952866,3.9421285192829023,0.34895452414570727
162,20.0,3,5,0.8587964342840142,True,1,42,1.3742154903537647,1.9886973047386625,3.9549169698748203,0.34683714645522745
51,16.0,10,2,0.4168085767616986,True,1,42,1.3782503073096837,1.995175762610196,3.9807263237071777,0.34257807062343015
174,,8,2,0.43387900130723767,True,1,42,1.380210429651024,1.997183520110621,3.988742013001451,0.341247626507273
106,17.0,6,3,0.8359869573751701,True,1,42,1.382337423759776,2.001345065168928,4.0053820698760205,0.3385040367352219
99,20.0,7,1,0.8147653097946175,True,1,42,1.3882269976875836,2.011226278532552,4.045031143459898,0.33195135487295024
96,7.0,7,3,0.8667121689973256,False,1,42,1.387973135330321,2.0254205545775337,4.102328422905163,0.3224914584375894
139,,2,1,0.42788970817812155,True,1,42,1.402400224241899,2.0268219287754095,4.108007130964872,0.3215529212302829
