n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,n_jobs,random_state,mae,rmse,mse,r2
569,35.0,8,4,0.5182781650485839,True,-1,42,1.1622525395341265,1.7063248632855386,2.911544539066412,0.5191816041297206
747,15.0,5,5,0.45485625474926394,True,-1,42,1.160640327575083,1.7073236104640697,2.914953910848066,0.5186164293666293
843,33.0,9,6,0.771241946822343,True,-1,42,1.1610072811913388,1.7086927015762612,2.919630748419982,0.5178440261944777
684,38.0,16,6,0.5938505868256836,True,-1,42,1.1613397056445471,1.7094197718225217,2.922115956297762,0.5174339402780765
230,25.0,14,6,0.8588652388876044,True,-1,42,1.1604988594719496,1.710146589857903,2.9246013588026143,0.5170238610926332
750,29.0,5,7,0.8765998602142984,True,-1,42,1.1611091036454688,1.7102196458747014,2.9248512371357895,0.5169812733278589
222,21.0,9,5,0.8550609312589625,True,-1,42,1.1622776219858473,1.710369498809978,2.925363822459495,0.5168965466988322
871,22.0,16,7,0.51851759851367,True,-1,42,1.1622847208197973,1.7104825433779618,2.925750531200741,0.5168321752681058
758,12.0,13,1,0.4353155017726804,True,-1,42,1.1649529697457464,1.7106428362708976,2.926298913284941,0.5167402896707736
991,22.0,19,3,0.9668679961482025,True,-1,42,1.1660566517822073,1.7117745224620535,2.930172015750191,0.5161046256724804
783,33.0,15,1,0.43953447790902317,True,-1,42,1.1713632788224178,1.711812813459313,2.9303031083234883,0.5160789703482986
615,24.0,20,3,0.3592121599437026,True,-1,42,1.1663410013489548,1.7119885467558549,2.9309047842232236,0.5159806214340854
846,20.0,18,9,0.7877524328929616,True,-1,42,1.1626362966409356,1.7127052628057273,2.9333593172424357,0.5155759548753336
408,36.0,14,9,0.48612031973003267,True,-1,42,1.1652673774643907,1.7138381531376847,2.9372412151503897,0.5149311637813093
341,33.0,17,7,0.7958277715122353,True,-1,42,1.1644331696033337,1.7138806553199872,2.937386900680069,0.5149137416187786
738,19.0,8,1,0.9557625835865007,True,-1,42,1.1739241288135773,1.7139546382152542,2.937640501859583,0.5148677873450698
791,35.0,13,9,0.4148101154293209,True,-1,42,1.165818434943735,1.7144517725988542,2.939344880567353,0.5145846074691434
301,38.0,7,9,0.8841384213185506,True,-1,42,1.1642812007645458,1.714562320003737,2.9397239491765967,0.5145252812298122
694,12.0,7,10,0.9896659320169152,True,-1,42,1.1637988907849786,1.7147426200189697,2.940342252909521,0.5144246861989368
883,20.0,14,10,0.4115348761188936,True,-1,42,1.1666831958928454,1.7151317595763445,2.9416769527074473,0.5141999393285482
