n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda,reg_alpha,tree_method,n_jobs,random_state,mae,rmse,mse,r2
101,5,0.04008416681311169,0.7678574132882714,0.9160222856248675,8,1.4754422339751183,0.37338079914750744,0.0002185547962965628,hist,-1,42,1.4164404470600465,2.0189929170498875,4.076332399097614,0.3241053764337818
269,6,0.010954326691897973,0.6769708892897766,0.907503199950126,8,3.2772328071002166,0.0032024471385732217,1.0798561016722184e-06,hist,-1,42,1.4200673614244508,2.019224449893014,4.077267379045744,0.32394902719578667
296,7,0.014576950048014375,0.6955460864583975,0.8396023691575528,7,1.320055006375242,2.297580334490796,0.001034812287003229,hist,-1,42,1.4156555207564605,2.0197904110389113,4.079553304524735,0.3235706508490711
197,4,0.025631154939401442,0.6106627924883229,0.946408122036558,8,1.2192421389644132,0.11669968580465748,0.0023558975891486856,hist,-1,42,1.418965263957224,2.0207534042271096,4.0834443206954525,0.3229267872568643
278,5,0.015510656957728512,0.7150352792557961,0.6676668184322964,3,3.6387367434355236,1.8228108172385544,0.04316681106924609,hist,-1,42,1.4215308641620232,2.022885356728081,4.092065166464896,0.3214974707998318
278,4,0.01480228381262076,0.9566668033202917,0.7833457359129805,4,2.5954446286095427,2.371330594735346,0.0006759368559644471,hist,-1,42,1.4252641915039839,2.030088795035887,4.121260515730259,0.3166575892639581
205,4,0.01675773835345651,0.8323558648070146,0.888120755737519,6,2.462162417073483,0.0024536498660258543,0.002213720877816481,hist,-1,42,1.4283653948887507,2.031955703316438,4.128843980240201,0.31540005869161725
225,6,0.012032449581974644,0.8737194526237535,0.9328500965882816,3,0.2627432236086652,0.06072333261942502,0.0001251633577887456,hist,-1,42,1.4564356630336557,2.037161325817463,4.150026267406363,0.3118848612572067
167,5,0.058563938307017595,0.9274655097290392,0.8241131454325707,8,0.3202586647423361,3.4198355094166675,6.228588821346476e-05,hist,-1,42,1.4359562358704503,2.0397798378433323,4.1607017868721705,0.3101164569163906
307,3,0.022463893364084622,0.7132554558719479,0.8857469150011303,3,0.27130286734344977,0.0014257054381422436,0.00139973782774439,hist,-1,42,1.4347199599127387,2.0435137349229833,4.175948384818882,0.3075943372774757
174,3,0.06033342500045575,0.6428450220543831,0.8594980545757386,3,2.800493766799816,0.001449909270542604,0.016013819838404216,hist,-1,42,1.467854947849153,2.0443689137623013,4.1794442555576525,0.3070178979635054
210,5,0.0180305059566111,0.9977386485516856,0.7601978234375221,4,2.20390399700918,0.05396913089321995,3.809945737958453e-05,hist,-1,42,1.4561468721972517,2.0468870077324826,4.189746422424037,0.3053013103931078
127,6,0.044850347836841456,0.8469886680543809,0.8507805862535714,6,2.167494590648682,0.019137310432992622,0.024501222770170007,hist,-1,42,1.4608694438790992,2.048523695275871,4.196449330106709,0.3041869720519553
233,8,0.04520521030755635,0.8102074089648946,0.904084389145617,7,4.834711469808338,1.4254586298832113,0.000937141080143812,hist,-1,42,1.44316181275299,2.055982283778539,4.227063151211217,0.2991165414549755
388,7,0.01250682020629962,0.8545972882870368,0.8645538961069144,4,2.563643139403177,0.13731594577896875,0.004874167134781468,hist,-1,42,1.4721451273045267,2.0565265325788396,4.229301379200745,0.29874419584353745
332,4,0.040733666963192736,0.7438818434099725,0.9540023799004098,4,4.046573742528771,0.01949432785439551,0.009437800765890543,hist,-1,42,1.4627277815127795,2.0640894468194007,4.26046524447122,0.29358100617536176
314,6,0.020984362231075283,0.8975015436430773,0.7352101713358365,3,0.372051514446467,0.002618303194517368,0.0008638207607840551,hist,-1,42,1.483458950256634,2.0692021738759543,4.281597636372974,0.2900835026681158
136,8,0.16927444318692414,0.8942716187804567,0.8643775116982618,8,4.590542287163815,4.225953428086016,0.00012480640665089,hist,-1,42,1.4432966129253828,2.0696482671490726,4.283443949713158,0.28976207706378165
102,5,0.014570625403417744,0.7281584692719235,0.8211302187460094,1,3.541961781119478,0.023597281996404557,1.3180654634883877e-06,hist,-1,42,1.5419217376196281,2.070549639095118,4.287175807956923,0.2891534667980882
211,3,0.010872270559593306,0.6001999076030332,0.7441430819533947,8,3.68682293753815,0.3905739725444034,6.811644479802018e-05,hist,-1,42,1.5217741250065762,2.07827271908258,4.319217494882899,0.2838526485201591
