n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_lambda,reg_alpha,tree_method,n_jobs,random_state,mae,rmse,mse,r2
1000,6,0.01844635399790786,0.624169405183495,0.6417046810585959,11,6.496718989566206,17.81236510383156,0.15389271556233444,hist,-1,42,1.1206260664560266,1.6531400089378372,2.732871889150992,0.5487023224307329
1231,11,0.026142937660290678,0.791515657166296,0.8884941580884327,9,2.1986209991782077,95.43480205472511,0.002070392935834896,hist,-1,42,1.1261180707814948,1.6577334550105454,2.7480802078612,0.5461935992727905
1262,10,0.013899836358125441,0.7696341037448394,0.6893466123565524,10,4.573456173068675,48.47497493849389,0.9861557513117069,hist,-1,42,1.1251815450899563,1.658498244794703,2.7506164279871106,0.5457733774004103
1322,8,0.021395541098660292,0.9528577717778411,0.866400184519589,11,2.5660137179941147,65.42309752108652,2.620133733540168e-06,hist,-1,42,1.129956270970985,1.664593291686175,2.770870826726615,0.542432343392891
773,12,0.016143348807343447,0.6555504498326676,0.6739886613012286,12,0.30600715548388013,0.07519161324073277,0.00030585787279390316,hist,-1,42,1.1284831467989487,1.6647031867908684,2.7712367001116727,0.5423777778773904
1134,9,0.026359976633466856,0.6516416503489028,0.6501078540541819,3,4.636522024532889,66.90647755500187,0.18185324623498114,hist,-1,42,1.1303944776323454,1.6669402405868414,2.7786897656877168,0.5411357322938146
1482,6,0.01427673938710018,0.7386510375686566,0.6237142180370988,4,0.8799678402051594,0.7012554258290323,1.4895084235202377e-06,hist,-1,42,1.130524827354977,1.668520598567796,2.783960987845036,0.5402711057347065
1380,6,0.09774630747778448,0.7050512645381878,0.7946253284920316,2,4.911163736855109,39.06541539507683,4.8485902671202116e-05,hist,-1,42,1.1411437368023714,1.669099195016761,2.7858921228055995,0.5399371367387469
1493,6,0.037281926829536786,0.8123136267270478,0.9277213222479656,7,2.3010454078919746,0.003233437876438246,0.002253746501940916,hist,-1,42,1.13350423531118,1.6695791665101543,2.787494593244741,0.5396899678921188
530,8,0.07928962857256452,0.7873117242556757,0.6084992881445711,7,3.9670232362954057,35.37046980121637,0.0011372567700692396,hist,-1,42,1.1389983319697228,1.6710889377390417,2.7925382378337984,0.5388421742521396
614,6,0.0909783084912081,0.7470315481005635,0.8591730433060663,11,6.336506778204403,12.859292553849116,0.0022103509473520933,hist,-1,42,1.133396726120131,1.671929738729223,2.7953490512471673,0.5383861790769807
548,12,0.040107222351266784,0.6850570754069482,0.9884241799010817,8,3.7380446465649193,17.727908085936964,2.6781801705063735e-05,hist,-1,42,1.136327800915596,1.6734440191500235,2.8004148852289843,0.5375444930061989
1083,8,0.027177939608628267,0.7337081027537679,0.9476869386616372,10,7.082455248141031,0.0565231371409779,0.002828175647261392,hist,-1,42,1.1306677828443807,1.676863349266275,2.8118706921125094,0.5356628247880755
1085,9,0.01473319019377248,0.7703437979772825,0.7615208480595972,10,1.9524584408890133,0.3129127915663417,4.638527070889031e-06,hist,-1,42,1.13423791628146,1.677357903819801,2.8135295375067564,0.5353932650880852
763,12,0.08505596877806956,0.9727649200671233,0.7521630209800843,10,1.8519246261194207,69.31295450318792,0.0002790216052027852,hist,-1,42,1.1397263198562544,1.6784264267671858,2.817115270070463,0.5348070579502148
428,6,0.06976262667316674,0.7387492119251307,0.9644302745683404,9,6.092058293588952,0.07735546844381921,2.1957524426470903e-06,hist,-1,42,1.1345596254188959,1.6791570688361128,2.8195684618222865,0.5343903282744823
628,10,0.022322234147848296,0.6506848454238263,0.9885777118031247,9,1.085776830260973,0.011749167498024226,0.0006060697545700307,hist,-1,42,1.1408239834829637,1.6796886911620232,2.821354099217591,0.5340999757494975
577,8,0.060993813210260164,0.9227140479317865,0.6921491116095684,5,6.309954507498254,64.60354577453856,0.7425328112345109,hist,-1,42,1.142293166131415,1.6798941259939648,2.8220442745490266,0.5339832658092497
775,10,0.030504786589710477,0.9307672055924245,0.673897578635291,11,3.789964369160642,43.732205929227646,0.3132856254351435,hist,-1,42,1.1424860704875157,1.6803369135373258,2.823532142996146,0.5337367078282464
639,9,0.05475204802574645,0.6201688552904744,0.8922005828097173,12,4.014356085389265,1.9953228013845352,0.018393009995863557,hist,-1,42,1.148710353767618,1.6807982147145608,2.825082638587655,0.5334710877512803
