run_id,model_name,dataset,time_stamp,model_variant,json_path,predictions_file_path
2025-08-24_113632_6567_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_113632,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_113632_6567_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_113632_6567_train/Prediction_Data/StepPredictions_2025-08-24_113632_6567_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_113820_6669_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_113820,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_113820_6669_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_113820_6669_train/Prediction_Data/StepPredictions_2025-08-24_113820_6669_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_114008_4307_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_114008,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_114008_4307_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_114008_4307_train/Prediction_Data/StepPredictions_2025-08-24_114008_4307_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_114205_3336_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_114205,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_114205_3336_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_114205_3336_train/Prediction_Data/StepPredictions_2025-08-24_114205_3336_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_114402_2283_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_114402,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_114402_2283_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_114402_2283_train/Prediction_Data/StepPredictions_2025-08-24_114402_2283_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_114546_1901_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_114546,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_114546_1901_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_114546_1901_train/Prediction_Data/StepPredictions_2025-08-24_114546_1901_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_114745_7468_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_114745,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_114745_7468_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_114745_7468_train/Prediction_Data/StepPredictions_2025-08-24_114745_7468_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_114939_3086_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_114939,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_114939_3086_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_114939_3086_train/Prediction_Data/StepPredictions_2025-08-24_114939_3086_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_115142_8331_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_115142,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_115142_8331_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_115142_8331_train/Prediction_Data/StepPredictions_2025-08-24_115142_8331_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_115341_5197_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_115341,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_115341_5197_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_115341_5197_train/Prediction_Data/StepPredictions_2025-08-24_115341_5197_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_115530_6531_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_115530,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_115530_6531_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_115530_6531_train/Prediction_Data/StepPredictions_2025-08-24_115530_6531_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_115733_6843_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_115733,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_115733_6843_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_115733_6843_train/Prediction_Data/StepPredictions_2025-08-24_115733_6843_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_115929_6315_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_115929,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_115929_6315_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_115929_6315_train/Prediction_Data/StepPredictions_2025-08-24_115929_6315_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_120131_6845_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_120131,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_120131_6845_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_120131_6845_train/Prediction_Data/StepPredictions_2025-08-24_120131_6845_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_120332_1997_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_120332,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_120332_1997_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_120332_1997_train/Prediction_Data/StepPredictions_2025-08-24_120332_1997_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_120542_6874_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_120542,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_120542_6874_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_120542_6874_train/Prediction_Data/StepPredictions_2025-08-24_120542_6874_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_120803_4269_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_120803,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_120803_4269_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_120803_4269_train/Prediction_Data/StepPredictions_2025-08-24_120803_4269_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_120959_5144_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_120959,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_120959_5144_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_120959_5144_train/Prediction_Data/StepPredictions_2025-08-24_120959_5144_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_121207_4917_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_121207,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_121207_4917_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_121207_4917_train/Prediction_Data/StepPredictions_2025-08-24_121207_4917_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_121426_3434_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_121426,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_121426_3434_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_121426_3434_train/Prediction_Data/StepPredictions_2025-08-24_121426_3434_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_121640_8199_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_121640,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_121640_8199_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_121640_8199_train/Prediction_Data/StepPredictions_2025-08-24_121640_8199_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_121847_9431_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_121847,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_121847_9431_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_121847_9431_train/Prediction_Data/StepPredictions_2025-08-24_121847_9431_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_122046_7845_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_122046,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_122046_7845_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_122046_7845_train/Prediction_Data/StepPredictions_2025-08-24_122046_7845_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_122312_8909_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_122312,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_122312_8909_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_122312_8909_train/Prediction_Data/StepPredictions_2025-08-24_122312_8909_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_122518_8166_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_122518,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_122518_8166_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_122518_8166_train/Prediction_Data/StepPredictions_2025-08-24_122518_8166_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_122727_7508_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_122727,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_122727_7508_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_122727_7508_train/Prediction_Data/StepPredictions_2025-08-24_122727_7508_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_122939_2579_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_122939,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_122939_2579_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_122939_2579_train/Prediction_Data/StepPredictions_2025-08-24_122939_2579_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_123141_3136_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_123141,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_123141_3136_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_123141_3136_train/Prediction_Data/StepPredictions_2025-08-24_123141_3136_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_123358_8011_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_123358,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_123358_8011_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_123358_8011_train/Prediction_Data/StepPredictions_2025-08-24_123358_8011_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_123607_6105_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_123607,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_123607_6105_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_123607_6105_train/Prediction_Data/StepPredictions_2025-08-24_123607_6105_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_123838_7346_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_123838,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_123838_7346_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_123838_7346_train/Prediction_Data/StepPredictions_2025-08-24_123838_7346_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_124059_6228_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_124059,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_124059_6228_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_124059_6228_train/Prediction_Data/StepPredictions_2025-08-24_124059_6228_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_124312_6245_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_124312,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_124312_6245_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_124312_6245_train/Prediction_Data/StepPredictions_2025-08-24_124312_6245_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
2025-08-24_124614_1449_train,cnn1d_edge,mqtt_data_filtered.csv,2025-08-24_124614,tflite_model_quant_float16,/home/pi/ML_Edge_Device/Output/Error_Metrics/ErrorMetrics_2025-08-24_124614_1449_train_cnn1d_edge_mqtt_data_filtered__tflite_model_quant_float16.json,/home/pi/ML_Edge_Device/Output/CNN1D/2025-08-24_124614_1449_train/Prediction_Data/StepPredictions_2025-08-24_124614_1449_train_CNN1D_mqtt_data_filtered__tflite_model_quant_float16.csv
