,MI_to_target
Temperatur,0.5239741296570184
Druck,0.7109453020372918
Temperatur_lag_1,0.03810895792126079
Temperatur_lag_2,0.06507481675819715
Temperatur_lag_4,0.10011031784083801
Temperatur_lag_5,0.0409748580621514
Temperatur_lag_10,0.01751918683278486
Temperatur_lag_18,0.0738130975152913
Temperatur_lag_20,0.1057585565838437
Temperatur_lag_22,0.03787792447698557
Druck_lag_1,0.16311181231034233
Druck_lag_2,0.026914364661989154
Druck_lag_4,0.11420436888322794
Druck_lag_5,0.04446072442773907
Druck_lag_8,0.09788269600730937
Druck_lag_10,0.010633109781078787
Druck_lag_12,0.08351162453780425
Druck_lag_16,0.06549563324823104
Druck_lag_20,0.1333974211235578
Volumenstrom_lag_1,0.0940975332453462
Volumenstrom_lag_2,0.04965710403249002
Volumenstrom_lag_3,0.03969588267062285
Volumenstrom_lag_4,0.1700495757591023
Volumenstrom_lag_5,0.015550883350290867
Volumenstrom_lag_7,0.03221527359862986
Volumenstrom_lag_8,0.13472547988876027
Volumenstrom_lag_10,0.009894413364624377
Volumenstrom_lag_11,0.04919166031462474
Volumenstrom_lag_12,0.1368432441716516
Volumenstrom_lag_13,0.005929786718465557
Volumenstrom_lag_14,0.054369096233709335
Volumenstrom_lag_16,0.10166509845939498
Volumenstrom_lag_17,0.014627761591714972
Volumenstrom_lag_18,0.03794899964071785
Volumenstrom_lag_19,0.0426429291705146
Volumenstrom_lag_20,0.14845446592391642
Volumenstrom_lag_21,0.0382778655601248
Volumenstrom_lag_22,0.04835263763586095
Volumenstrom_lag_24,0.08072147022203247
Volumenstrom_lag_25,0.010156144227010167
Volumenstrom_lag_28,0.053948907966446136
Volumenstrom_lag_29,0.0
Volumenstrom_lag_30,0.027258406952650027
Temperatur_rollmean_5,0.005119927708571836
Temperatur_rollstd_5,0.008564263251996884
Druck_rollmean_5,0.0178812446299359
Druck_rollstd_5,0.009925416970433254
Volumenstrom_rollmean_5,0.038357739720821904
Volumenstrom_rollstd_5,0.0
Temperatur_rollmean_10,0.021864086985284636
Temperatur_rollstd_10,0.009681509124042087
Druck_rollmean_10,0.004164947756895465
Druck_rollstd_10,0.0
Volumenstrom_rollmean_10,0.02870741102078611
Volumenstrom_rollstd_10,0.03141631794076094
Temperatur_rollmean_20,0.02296421984059993
Temperatur_rollstd_20,0.0
Druck_rollmean_20,0.0
Druck_rollstd_20,0.02427491238020263
Volumenstrom_rollmean_20,0.027938259494121098
Volumenstrom_rollstd_20,0.027047577456436045
