,Volumenstrom,Temperatur,Druck,sin_2s,sin_3s,sin_4s,sin_6s,sin_8s,sin_10s,sin_15s,sin_20s,cos_2s,cos_3s,cos_4s,cos_6s,cos_8s,cos_10s,cos_15s,cos_20s
Volumenstrom,1.0,0.6478400768368986,-0.6962508436932526,-0.015785101929187015,0.004306150764176008,-0.04090387579097907,-0.002629863234443935,-0.0017223945240186515,-0.010843817936889854,-0.004740049071889144,0.03122158361783231,0.015785101929187015,0.016750689491834038,0.010296608588967738,0.004343833317130396,-4.0061800836564796e-05,-0.009877363235659553,-0.004743457182184729,0.042534615888217504
Temperatur,0.6478400768368986,1.0,-0.26191717629256356,-0.04041407836174372,0.014222618295421163,-0.012272094836638455,-0.0035249915395986413,-0.000780534039498597,-0.006353038781978334,-0.0019339991561403724,0.005292010365048818,0.04041407836174373,0.009360063205317765,0.04354666303036698,0.004542195376634333,0.0037907449461362006,-0.01535443070328623,-0.0011754653344855557,0.0396595572177506
Druck,-0.6962508436932526,-0.26191717629256356,1.0,-0.026584641367378963,-0.01079469922672064,0.039087082077583976,-2.4631114041406908e-05,-0.00422584420932621,0.004825581023473255,-0.004696648993344174,-0.017790547338651166,0.026584641367378946,-0.013820066579357054,0.02136148647613488,-0.0036780907696478894,-0.012003159338653858,0.012041808142335245,-0.003101981154174547,-0.0275770779853355
sin_2s,-0.015785101929187015,-0.04041407836174372,-0.026584641367378963,1.0,0.0006798473042264142,0.00039267349049054777,1.8868927594078107e-07,-0.00011477757830663052,-0.0001424298805615599,-0.00013194698148006047,-0.00010935379166924758,-0.9999999999999998,-0.0003925100241029525,-4.067428233431049e-18,1.0893978751792584e-07,-0.00011477757830662786,-0.00019601074157607378,-0.00029622922918483096,-0.00033635875325104783
sin_3s,0.004306150764176008,0.014222618295421163,-0.01079469922672064,0.0006798473042264142,1.0,0.0004807913831261345,5.823817697867188e-17,-0.0001408010130617145,-0.00017464559086510374,-0.00016175483710742622,-0.00013405017998050804,-0.0006798473042264248,2.8604497190106387e-16,0.0004806579226424853,0.0004807246575053236,0.00033992371532944954,0.00024034571708895147,0.00011747079389963699,6.826187429135794e-05
sin_4s,-0.04090387579097907,-0.012272094836638455,0.039087082077583976,0.00039267349049054777,0.0004807913831261345,1.0,0.0004805246102528519,0.0003923015681211938,0.0003261063535248576,0.00022567985914596377,0.00017146921922023232,-0.00039267349049054294,-0.00027758503447193974,6.129211841861653e-17,0.000277430970339551,0.0003923015681211421,0.00044878467871394445,0.0005066654042968908,0.0005274181344555456
sin_6s,-0.002629863234443935,-0.0035249915395986413,-2.4631114041406908e-05,1.8868927594078107e-07,5.823817697867188e-17,0.0004805246102528519,1.0,0.0008201930970755454,0.0007394001020813967,0.0005525896682827109,0.00043100243872805637,-1.8868927595298332e-07,-0.0004807247315679427,-0.0004806580337207155,-2.668469433279029e-07,0.00033946825759069584,0.0005368643338746401,0.000759977745079174,0.0008451264761059463
sin_8s,-0.0017223945240186515,-0.000780534039498597,-0.00422584420932621,-0.00011477757830663052,-0.0001408010130617145,0.0003923015681211938,0.0008201930970755454,1.0,0.0007582845924240446,0.0005719846467035087,0.00044746353578230545,0.00011477757830662685,-0.0004738015998921489,-0.0005550160866458504,-8.155451301673661e-05,0.0002770976377365339,0.0004884897652376557,0.0007291684178186444,0.0008214122114651174
sin_10s,-0.010843817936889854,-0.006353038781978334,0.004825581023473255,-0.0001424298805615599,-0.00017464559086510374,0.0003261063535248576,0.0007394001020813967,0.0007582845924240446,1.0,0.0005249107003752757,0.0004110679151165873,0.00014242988056156544,-0.0004271298461005162,-0.0005278882733131726,-0.00010106878346257462,0.00023032294890378623,0.0004265982152928684,0.0006506101655465447,0.0007365874011504974
sin_15s,-0.004740049071889144,-0.0019339991561403724,-0.004696648993344174,-0.00013194698148006047,-0.00016175483710742622,0.00022567985914596377,0.0005525896682827109,0.0005719846467035087,0.0005249107003752757,1.0,0.0003122394966038853,0.00013194698148005966,-0.0003192149139632866,-0.0004125468662146737,-9.356639991154642e-05,0.00015938044136891164,0.00030980183302348375,0.0004818261043078929,0.0005479269836624897
