,Pearson,Spearman,Mutual_Info
Druck,-0.696250843693253,-0.7998692595983746,0.6867743085552083
Temperatur,0.6478400768368987,0.7568045840779399,0.5231823632912382
sin_15s,-0.0047400490718891184,0.0007620371660727674,0.013162968665284325
sin_2s,-0.015785101929187088,-0.01643884483532199,0.00983677815598627
sin_4s,-0.040903875790979156,-0.026070399718095074,0.006426095650735597
cos_15s,-0.004743457182184739,0.00890507773260858,0.006108883531088516
cos_2s,0.015785101929187077,0.01643884483532199,0.0060875365986179375
cos_4s,0.01029660858896777,0.005916679198256422,0.0
cos_3s,0.016750689491833986,0.018201660600709393,0.0
sin_3s,0.004306150764176,0.01276663882971208,0.0
cos_6s,0.0043438333171304,0.003574158748911929,0.0
sin_6s,-0.002629863234443942,-0.004109826956093657,0.0
sin_8s,-0.0017223945240186396,-0.0014855895417482349,0.0
cos_8s,-4.006180083655552e-05,0.00686138695901882,0.0
cos_10s,-0.009877363235659598,-0.018708599133413745,0.0
sin_10s,-0.010843817936889814,-0.0025602193200391643,0.0
sin_20s,0.031221583617832286,0.027591087096021573,0.0
cos_20s,0.04253461588821758,0.047884260097484005,0.0
