,Pearson,Spearman,Mutual_Info,mRMR_Rank
Druck,-0.696250843693253,-0.7998692595983746,0.6867743085552083,1.0
Temperatur,0.6478400768368987,0.7568045840779399,0.5231823632912382,2.0
sin_2s,-0.015785101929187088,-0.01643884483532199,0.00983677815598627,3.0
sin_15s,-0.0047400490718891184,0.0007620371660727674,0.013162968665284325,4.0
sin_6s,-0.002629863234443942,-0.004109826956093657,0.0,5.0
cos_8s,-4.006180083655552e-05,0.00686138695901882,0.0,6.0
sin_10s,-0.010843817936889814,-0.0025602193200391643,0.0,7.0
cos_3s,0.016750689491833986,0.018201660600709393,0.0,8.0
cos_2s,0.015785101929187077,0.01643884483532199,0.0060875365986179375,9.0
sin_4s,-0.040903875790979156,-0.026070399718095074,0.006426095650735597,10.0
